campaign_date,team_id,settlement_id,ward_code,lga_name,target_population_under5,doses_administered
2026-03-09,T01,S00033,W001,Idi-Oro,31,23
2026-03-09,T01,S02144,W033,Katsuma,40,23
2026-03-09,T01,S00071,W001,Idi-Oro,177,107
2026-03-09,T01,S00070,W001,Idi-Oro,49,31
2026-03-09,T01,S02110,W033,Katsuma,32,22
2026-03-09,T01,S02122,W033,Katsuma,29,26
2026-03-09,T01,S00010,W001,Idi-Oro,371,334
2026-03-09,T01,S02152,W033,Katsuma,512,483
2026-03-09,T01,S00086,W001,Idi-Oro,427,315
2026-03-09,T01,S02147,W033,Katsuma,23,20
2026-03-09,T01,S00003,W001,Idi-Oro,61,40
2026-03-09,T01,S02150,W033,Katsuma,16,12
2026-03-09,T01,S00029,W001,Idi-Oro,69,44
2026-03-09,T01,S00002,W001,Idi-Oro,538,542
2026-03-09,T01,S02154,W033,Katsuma,81,74
2026-03-09,T01,S00068,W001,Idi-Oro,109,99
2026-03-09,T01,S02151,W033,Katsuma,80,61
2026-03-09,T01,S02116,W033,Katsuma,21,14
2026-03-09,T01,S02105,W033,Katsuma,35,27
2026-03-09,T01,S02114,W033,Katsuma,52,44
2026-03-09,T01,S00030,W001,Idi-Oro,22,13
2026-03-09,T01,S00076,W001,Idi-Oro,423,270
2026-03-09,T01,S02121,W033,Katsuma,67,66
2026-03-09,T01,S00036,W001,Idi-Oro,115,66
2026-03-09,T01,S02113,W033,Katsuma,20,17
2026-03-09,T01,S02103,W033,Katsuma,37,32
2026-03-09,T01,S02158,W033,Katsuma,70,46
2026-03-09,T01,S00120,W001,Idi-Oro,357,316
2026-03-09,T01,S02135,W033,Katsuma,49,43
2026-03-09,T01,S02115,W033,Katsuma,261,242
2026-03-10,T01,S00026,W001,Idi-Oro,21,22
2026-03-10,T01,S02118,W033,Katsuma,17,11
2026-03-10,T01,S02160,W033,Katsuma,9,8
2026-03-10,T01,S00017,W001,Idi-Oro,392,394
2026-03-10,T01,S00031,W001,Idi-Oro,301,178
2026-03-10,T01,S00028,W001,Idi-Oro,104,90
2026-03-10,T01,S00077,W001,Idi-Oro,117,114
2026-03-10,T01,S00014,W001,Idi-Oro,324,227
2026-03-10,T01,S00025,W001,Idi-Oro,121,73
2026-03-10,T01,S00064,W001,Idi-Oro,143,142
2026-03-10,T01,S00037,W001,Idi-Oro,300,255
2026-03-10,T01,S00088,W001,Idi-Oro,1017,1015
2026-03-10,T01,S00011,W001,Idi-Oro,30,26
2026-03-10,T01,S02106,W033,Katsuma,85,63
2026-03-10,T01,S00027,W001,Idi-Oro,101,87
2026-03-10,T01,S00047,W001,Idi-Oro,122,94
2026-03-10,T01,S00048,W001,Idi-Oro,126,90
2026-03-10,T01,S00001,W001,Idi-Oro,145,109
2026-03-10,T01,S00040,W001,Idi-Oro,171,97
2026-03-10,T01,S00035,W001,Idi-Oro,149,115
2026-03-10,T01,S00073,W001,Idi-Oro,369,204
2026-03-10,T01,S00019,W001,Idi-Oro,8,6
