team_id,file_label_date,gap_started_after,resumed_at,gap_min
T01,2026-03-10,2026-03-10 16:31:00,2026-03-10 16:43:00,12.0
T06,2026-03-10,2026-03-10 17:28:00,2026-03-10 17:33:00,5.0
T07,2026-03-10,2026-03-10 12:30:00,2026-03-10 14:45:00,135.0
T07,2026-03-10,2026-03-10 14:47:00,2026-03-10 16:39:00,112.0
T07,2026-03-10,2026-03-10 16:41:00,2026-03-10 18:21:00,100.0
T09,2026-03-10,2026-03-10 12:52:00,2026-03-10 13:11:00,19.0
T09,2026-03-12,2026-03-12 11:21:00,2026-03-12 11:40:00,19.0
T09,2026-03-13,2026-03-13 11:04:00,2026-03-13 11:20:00,16.0
T10,2026-03-09,2026-03-09 14:03:00,2026-03-09 14:26:00,23.0
T10,2026-03-10,2026-03-10 12:53:00,2026-03-10 13:06:00,13.0
T10,2026-03-13,2026-03-13 10:15:00,2026-03-13 10:27:00,12.0
T11,2026-03-12,2026-03-12 09:37:00,2026-03-12 09:50:00,13.0
T11,2026-03-13,2026-03-13 09:46:00,2026-03-13 09:53:00,7.0
T11,2026-03-13,2026-03-13 14:23:00,2026-03-13 14:34:00,11.0
T12,2026-03-09,2026-03-09 09:08:00,2026-03-09 09:24:00,16.0
T12,2026-03-10,2026-03-10 12:49:00,2026-03-10 13:10:00,21.0
T12,2026-03-11,2026-03-11 14:50:00,2026-03-11 15:02:00,12.0
T12,2026-03-12,2026-03-12 17:01:00,2026-03-12 17:16:00,15.0
T12,2026-03-13,2026-03-13 11:51:00,2026-03-13 12:12:00,21.0
T13,2026-03-09,2026-03-09 09:36:00,2026-03-09 09:50:00,14.0
T13,2026-03-10,2026-03-10 13:20:00,2026-03-10 13:30:00,10.0
T13,2026-03-11,2026-03-11 16:16:00,2026-03-11 16:42:00,26.0
T13,2026-03-12,2026-03-12 12:03:00,2026-03-12 12:29:00,26.0
T13,2026-03-13,2026-03-13 08:55:00,2026-03-13 09:19:00,24.0
T14,2026-03-09,2026-03-09 08:48:00,2026-03-09 09:08:00,20.0
T15,2026-03-11,2026-03-11 10:06:00,2026-03-11 10:27:00,21.0
T16,2026-03-10,2026-03-10 16:28:00,2026-03-10 16:50:00,22.0
T16,2026-03-12,2026-03-12 13:26:00,2026-03-12 13:39:00,13.0
T16,2026-03-13,2026-03-13 10:37:00,2026-03-13 10:56:00,19.0
T17,2026-03-09,2026-03-09 13:15:00,2026-03-09 13:30:00,15.0
T17,2026-03-11,2026-03-11 11:18:00,2026-03-11 11:40:00,22.0
T17,2026-03-12,2026-03-12 13:33:00,2026-03-12 13:53:00,20.0
T17,2026-03-13,2026-03-13 10:10:00,2026-03-13 10:24:00,14.0
T18,2026-03-09,2026-03-09 09:25:00,2026-03-09 09:43:00,18.0
T18,2026-03-10,2026-03-10 10:00:00,2026-03-10 10:25:00,25.0
T18,2026-03-11,2026-03-11 14:48:00,2026-03-11 15:08:00,20.0
T18,2026-03-13,2026-03-13 10:31:00,2026-03-13 10:56:00,25.0
T19,2026-03-11,2026-03-11 15:01:00,2026-03-11 15:19:00,18.0
T19,2026-03-12,2026-03-12 15:01:00,2026-03-12 15:10:00,9.0
T19,2026-03-13,2026-03-13 09:59:00,2026-03-13 10:24:00,25.0
T21,2026-03-09,2026-03-09 16:51:00,2026-03-09 17:02:00,11.0
T21,2026-03-11,2026-03-11 13:09:00,2026-03-11 13:20:00,11.0
T21,2026-03-13,2026-03-13 12:47:00,2026-03-13 13:05:00,18.0
T22,2026-03-09,2026-03-09 15:17:00,2026-03-09 15:43:00,26.0
T22,2026-03-10,2026-03-10 10:10:00,2026-03-10 10:21:00,11.0
T22,2026-03-11,2026-03-11 15:04:00,2026-03-11 15:27:00,23.0
T22,2026-03-12,2026-03-12 08:22:00,2026-03-12 08:39:00,17.0
T22,2026-03-13,2026-03-13 11:02:00,2026-03-13 11:25:00,23.0
T23,2026-03-11,2026-03-11 16:15:00,2026-03-11 16:35:00,20.0
T23,2026-03-12,2026-03-12 13:53:00,2026-03-12 14:17:00,24.0
