settlement_id,settlement_name,settlement_type,ward_code,lga_code,longitude,latitude,target_population_under5,ward_name,lga_name,base_radius_m,nn_dist_m,n_track_points,n_visiting_teams,visiting_teams,first_visit_ts,last_visit_ts,any_ambiguous_match,track_visited,security_classification,buffer_overlaps_neighbor,etally_doses_total,etally_target_pop,etally_n_days_reported,etally_teams,etally_reported,n_active_days,ward_ever_active,complete_gps_blackout,coverage_status,dose_coverage_ratio,is_missed,gi_star_z,gi_star_p_sim,fdr_significant,cluster_label
S00790,Uztsimi,Village,W009,LGA02,7.514759,11.01041,125.0,Washatu,Gwarin,150.0,793.4297855026365,124,1,T09,2026-03-10 13:51:00,2026-03-10 15:55:00,False,True,Accessible,False,105,125.0,1.0,T09,True,5,True,False,Visited (track-confirmed),0.84,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00054,Loshaja,Village,W001,LGA01,7.078284,11.081093,173.0,Ekngoyi,Idi-Oro,150.0,1667.0242815313986,0,0,,,,False,False,Accessible,False,123,173.0,1.0,T01,True,5,True,False,Tally-only (no GPS confirmation),0.7109826589595376,0,0.7093283968014948,0.312,False,Not significant
S01437,Sanami,Hamlet,W020,LGA01,7.675213,11.084507,11.0,Famade,Idi-Oro,150.0,1485.5686748708274,0,0,,,,False,False,Accessible,False,8,11.0,1.0,T20,True,5,True,False,Tally-only (no GPS confirmation),0.7272727272727273,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01143,Loyoni,Settlement,W015,LGA01,7.713549,11.284635,131.0,Baluru,Idi-Oro,150.0,613.5108270003711,6,1,T15,2026-03-13 17:59:00,2026-03-13 18:05:00,False,True,Accessible,False,88,131.0,1.0,T15,True,5,True,False,Visited (track-confirmed),0.6717557251908397,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01213,Sadewo,Village,W015,LGA01,7.700103,11.283331,86.0,Baluru,Idi-Oro,150.0,702.3664950856579,4,1,T15,2026-03-13 15:59:00,2026-03-13 16:02:00,False,True,Accessible,False,0,,,,False,5,True,False,Visited (track-confirmed),0.0,0,0.7093283968014948,0.312,False,Not significant
S00294,Uzlako,Settlement,W003,LGA01,7.271927,10.976346,91.0,Satita,Idi-Oro,150.0,697.3734946424593,0,0,,,,False,False,Accessible,False,77,91.0,1.0,T03,True,5,True,False,Tally-only (no GPS confirmation),0.8461538461538461,0,0.7093283968014948,0.312,False,Not significant
S01166,Kariba,Hamlet,W015,LGA01,7.483414,11.203544,46.0,Baluru,Idi-Oro,150.0,1087.338603861282,0,0,,,,False,False,Accessible,False,39,46.0,1.0,T15,True,5,True,False,Tally-only (no GPS confirmation),0.8478260869565217,0,0.7093283968014948,0.312,False,Not significant
S02465,Kasafa,Settlement,W039,LGA04,8.335967,10.934741,64.0,Nungoni-Arewa,Ilela,150.0,579.9229811919666,0,0,,,,False,False,Accessible,False,50,64.0,1.0,T07,True,5,True,True,Tally-only (no GPS confirmation),0.78125,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01819,Bibema,Village,W028,LGA04,7.932477,10.876878,109.0,Wangoja,Ilela,150.0,3723.064133931404,27,1,T28,2026-03-12 18:01:00,2026-03-13 07:47:00,False,True,Accessible,False,76,109.0,1.0,T28,True,5,True,False,Visited (track-confirmed),0.6972477064220184,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00886,Lodeja,Hamlet,W011,LGA02,7.558284,10.418976,47.0,Enyoko-Kofar,Gwarin,150.0,1042.309527035748,0,0,,,,False,False,Accessible,False,30,47.0,1.0,T11,True,5,True,False,Tally-only (no GPS confirmation),0.6382978723404256,0,-0.2521623476541578,0.304,False,Not significant
