team_id,QA1_source_day_mismatch,QA2a_null_island_coordinate,QA3_implausible_speed,QA4_outside_duty_hours,QA5_unresolved_identity_conflict
T01,97022,0,63,1624,0
T02,93495,0,66,1606,0
T03,103594,0,81,1624,0
T04,53782,0,82,1620,0
T05,46438,0,47,1602,0
T06,114985,0,55,1636,0
T07,123134,0,87,1957,1310
T08,130311,0,76,1620,0
T09,740,2,51,700,0
T10,883,4,53,1118,0
T11,2441,1,65,1608,0
T12,0,4,36,434,0
T13,33,0,51,658,0
T14,3326,0,45,978,0
T15,18841,0,72,1610,0
T16,94,0,54,824,0
T17,172,2,37,326,0
T18,1177,3,60,1081,0
T19,4377,0,70,1618,0
T20,6193,1,66,1585,0
T21,229,4,48,932,0
T22,0,3,36,7,0
T23,397,4,54,998,0
T24,0,0,51,605,0
T25,0,4,42,245,0
T26,1573,3,68,1281,0
T27,49,2,36,410,0
T28,3175,2,72,1620,0
T29,7191,3,61,1595,0
T30,3638,2,63,1540,0
T31,140,2,48,571,0
T32,967,0,63,1593,0
