ward_code,ward_name,lga_name,n_planned_accessible_settlements,n_track_visited,n_etally_reported,n_any_evidence_visited,n_plausible_miss,n_indeterminate_no_data,track_coverage_pct,etally_settlement_coverage_pct,any_evidence_coverage_pct,etally_dose_coverage_pct,n_active_days,n_track_active_days,n_etally_active_days,complete_gps_blackout,track_etally_discrepancy_pp,plausible_discrepancy_cause
W001,Ekngoyi,Idi-Oro,121.0,16.0,99.0,99.0,22.0,0.0,13.2,81.8,81.8,69.6,5,4,5,False,68.6,Track coverage well below tally -- investigate attribution tolerance and logger uptime
W002,Ekduru,Idi-Oro,101.0,10.0,85.0,85.0,16.0,0.0,9.9,84.2,84.2,72.3,5,2,5,False,74.3,Track coverage well below tally -- investigate attribution tolerance and logger uptime
W003,Satita,Idi-Oro,111.0,27.0,81.0,85.0,26.0,0.0,24.3,73.0,76.6,60.5,5,5,5,False,48.7,Track coverage well below tally -- investigate attribution tolerance and logger uptime
W004,Yesawo,Gwarin,42.0,5.0,35.0,35.0,7.0,0.0,11.9,83.3,83.3,74.7,5,2,5,False,71.4,Track coverage well below tally -- investigate attribution tolerance and logger uptime
W005,Jijile,Gwarin,40.0,4.0,32.0,33.0,7.0,0.0,10.0,80.0,82.5,69.8,5,3,5,False,70.0,Track coverage well below tally -- investigate attribution tolerance and logger uptime
W006,Okradu,Idi-Oro,128.0,7.0,103.0,104.0,24.0,0.0,5.5,80.5,81.2,68.5,5,3,5,False,75.0,Track coverage well below tally -- investigate attribution tolerance and logger uptime
W007,Bayoyi,Idi-Oro,127.0,41.0,99.0,102.0,25.0,0.0,32.3,78.0,80.3,66.5,5,5,5,False,45.7,Track coverage well below tally -- investigate attribution tolerance and logger uptime
W008,Umyosa,Idi-Oro,129.0,8.0,105.0,106.0,23.0,0.0,6.2,81.4,82.2,65.7,5,3,5,False,75.2,Track coverage well below tally -- investigate attribution tolerance and logger uptime
W009,Washatu,Gwarin,38.0,30.0,32.0,34.0,4.0,0.0,78.9,84.2,89.5,71.9,5,5,5,False,5.3,Sources broadly consistent
W010,Fazafa,Gwarin,46.0,33.0,42.0,43.0,3.0,0.0,71.7,91.3,93.5,77.4,5,5,5,False,19.6,Sources broadly consistent
