ward_code,ward_name,n_track_points_in_ward,n_track_active_days,n_etally_active_days,n_active_days,active_days,ward_ever_active,complete_gps_blackout
W001,Ekngoyi,1167,4,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W002,Ekduru,855,2,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W003,Satita,2952,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W004,Yesawo,347,2,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W005,Jijile,574,3,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W006,Okradu,486,3,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W007,Bayoyi,3116,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W008,Umyosa,455,3,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W009,Washatu,4161,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W010,Fazafa,3833,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W011,Enyoko-Kofar,3274,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W012,Darari,2682,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W013,Sashako,3585,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W014,Bishama,1963,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W015,Baluru,4083,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W016,Uzritu,3243,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W017,Bazasa,2450,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W018,Adwana,3369,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W019,Umzaba-Kofar,4145,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W020,Famade,4635,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W021,Yezata,2781,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W022,Sudefa,3838,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W023,Suwade,2987,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W024,Kuraba-Kofar,3647,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W025,Okriba,4046,5,0,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W026,Kungomi,3124,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W027,Daberi,2805,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W028,Wangoja,3276,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W029,Wangoni,3920,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W030,Yeride,4054,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W031,Satide,3922,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W032,Bisani-Gabas,3239,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W033,Tasayi,1370,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W034,Dodeta,1577,5,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W035,Dazata,0,0,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,True
W036,Mawako,529,3,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W037,Longoma,429,4,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W038,Sashasa,512,3,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
W039,Nungoni-Arewa,0,0,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,True
W040,Gujiri,433,3,5,5,"2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13",True,False
